date,open,high,low,close,volume,trading_value,price_change,transactions,cash_dividend,split_ratio,gross_return,total_return_index,adjusted_close,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,nav,issuer_market_price,fund_size,outstanding_units,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,official_close,close_difference,institutional_available,distribution_yield_ttm,feature_available_date,official_close_source
2003-08-26,44.25,44.25,43.4,43.46,8544000,372327820,-0.89,871,0.0,1.0,0.9799323562570462,117.2060409924487,5.224020966239277,0.12020296746984072,5.318981310540452,5.318981310540452,5.216808788191087,11.0625,11.0625,10.85,10.865,43.47,43.46,3912313314.0,90000000.0,5446,1459,0.0,0.0,0.0,0.0,43.46,0.0,False,0.0,2003-08-27,TWSE_STOCK_DAY_AVG
2003-08-27,43.28,43.97,43.28,43.62,6352000,277329490,0.16,659,0.0,1.0,1.0036815462494246,117.63754045307438,5.243253441034451,0.1202029674698407,5.202384432094706,5.285324479648896,5.202384432094706,10.82,10.9925,10.82,10.905,43.53,43.62,3743481177.0,86000000.0,5433,1510,0.0,0.0,0.0,0.0,43.62,0.0,False,0.0,2003-08-28,TWSE_STOCK_DAY_AVG
2003-08-28,43.63,43.95,43.49,43.56,4754000,207762210,-0.06,453,0.0,1.0,0.9986244841815682,117.47572815533975,5.236041262986261,0.1202029674698407,5.24445547070915,5.282920420299499,5.227627055263373,10.9075,10.9875,10.8725,10.89,43.49,43.56,20047745833.0,461000000.0,5264,1553,0.0,0.0,0.0,0.0,43.56,0.0,False,0.0,2003-08-29,TWSE_STOCK_DAY_AVG
2003-08-29,43.6,44.92,43.6,44.92,7666000,338875630,1.36,786,0.0,1.0,1.0312213039485767,121.14347357065797,5.399517298745244,0.12020296746984069,5.240849381685054,5.399517298745244,5.240849381685054,10.9,11.23,10.9,11.23,44.58,44.92,20462059895.0,459000000.0,5065,1600,0.0,0.0,0.0,0.0,44.92,0.0,False,0.0,2003-09-01,TWSE_STOCK_DAY_AVG
2003-09-01,46.4,46.4,44.79,45.15,6283000,283499760,0.23,804,0.0,1.0,1.005120213713268,121.76375404530737,5.427163981263306,0.12020296746984067,5.577417690600607,5.577417690600607,5.383890912974164,11.6,11.6,11.1975,11.2875,44.97,45.15,20638992174.0,459000000.0,6001,1621,0.0,0.0,0.0,0.0,45.15,0.0,False,0.0,2003-09-02,TWSE_STOCK_DAY_AVG
2003-09-02,45.23,45.52,44.9,45.52,2163000,97711050,0.37,473,0.0,1.0,1.0081949058693245,122.76159654800425,5.471639079227148,0.12020296746984067,5.436780218660894,5.471639079227148,5.397113239395846,11.3075,11.38,11.225,11.38,45.25,45.52,20861306780.0,461000000.0,6315,1667,0.0,0.0,0.0,0.0,45.52,0.0,False,0.0,2003-09-03,TWSE_STOCK_DAY_AVG
2003-09-03,45.9,45.9,45.0,45.0,4321000,196259650,-0.52,693,0.0,1.0,0.9885764499121265,121.3592233009708,5.409133536142831,0.12020296746984069,5.517316206865687,5.517316206865687,5.409133536142831,11.475,11.475,11.25,11.25,44.92,45.0,20705858603.0,461000000.0,6098,1721,0.0,0.0,0.0,0.0,45.0,0.0,False,0.0,2003-09-04,TWSE_STOCK_DAY_AVG
2003-09-04,45.1,45.1,44.51,44.51,3077000,137885310,-0.49,586,0.0,1.0,0.989111111111111,120.03775620280466,5.350234082082608,0.12020296746984066,5.421153832889814,5.421153832889814,5.350234082082608,11.275,11.275,11.1275,11.1275,44.56,44.51,20541450452.0,461000000.0,5876,1713,0.0,0.0,0.0,0.0,44.51,0.0,False,0.0,2003-09-05,TWSE_STOCK_DAY_AVG
2003-09-05,45.0,45.25,44.7,45.03,3894000,175161720,0.52,582,0.0,1.0,1.011682767917322,121.44012944983808,5.412739625166925,0.12020296746984065,5.409133536142829,5.4391842780102895,5.373072645901877,11.25,11.3125,11.175,11.2575,44.79,45.03,20691647778.0,462000000.0,5726,1964,0.0,0.0,0.0,0.0,45.03,0.0,False,0.0,2003-09-08,TWSE_STOCK_DAY_AVG
2003-09-08,44.8,46.0,44.59,45.95,5233000,237436070,0.92,840,0.0,1.0,1.0204308238951811,123.92125134843572,5.5233263552391785,0.12020296746984066,5.385092942648861,5.5293365036126705,5.359850319480196,11.2,11.5,11.1475,11.4875,45.76,45.95,21142500921.0,462000000.0,5615,1881,0.0,0.0,0.0,0.0,45.95,0.0,False,0.0,2003-09-09,TWSE_STOCK_DAY_AVG
